ML Model Name,Accuracy,AUC,Precision,Recall,F1,MCC
Logistic Regression,0.8439024390243902,0.932,0.8230088495575221,0.8857142857142857,0.8532110091743119,0.6891356409459988
Decision Tree,0.9853658536585366,0.9857142857142858,1.0,0.9714285714285714,0.9855072463768116,0.9711511393019859
kNN,0.8634146341463415,0.9689047619047619,0.8598130841121495,0.8761904761904762,0.8679245283018868,0.7266750878401346
Naive Bayes,0.8439024390243902,0.9135238095238095,0.8288288288288288,0.8761904761904762,0.8518518518518519,0.6883572952014401
Random Forest (Ensemble),1.0,1.0,1.0,1.0,1.0,1.0
XGBoost (Ensemble),1.0,0.9999999999999999,1.0,1.0,1.0,1.0
